dato,saldoFor,transaksjon,saldoEtter
Fri Apr 17 19:21:52 CEST 2020,10,-5,5
Fri Apr 17 19:25:05 CEST 2020,10,-5,5
Fri Apr 17 19:25:38 CEST 2020,10,-5,5
Fri Apr 17 19:29:29 CEST 2020,10,-5,5
Fri Apr 17 19:32:26 CEST 2020,10,-5,5
Fri Apr 17 19:38:10 CEST 2020,10,-5,5
Fri Apr 17 19:41:09 CEST 2020,10,-5,5
Fri Apr 17 19:42:48 CEST 2020,10,-5,5
Fri Apr 17 19:44:23 CEST 2020,10,-5,5
Fri Apr 17 19:51:35 CEST 2020,10,-5,5
Fri Apr 17 19:51:35 CEST 2020,5,-5,0
Fri Apr 17 19:52:47 CEST 2020,10,-5,5
Fri Apr 17 20:00:16 CEST 2020,10,-5,5
Fri Apr 17 20:00:42 CEST 2020,10,-5,5
Fri Apr 17 20:01:16 CEST 2020,10,-5,5
Fri Apr 17 20:05:24 CEST 2020,10,-5,5
Fri Apr 17 20:06:35 CEST 2020,10,-5,5
Fri Apr 17 20:12:26 CEST 2020,20,-5,15
Fri Apr 17 20:19:51 CEST 2020,20,-5,15
Fri Apr 17 20:26:41 CEST 2020,10,-5,5
Fri Apr 17 20:32:55 CEST 2020,20,-5,15
Fri Apr 17 20:33:51 CEST 2020,20,-5,15
Fri Apr 17 20:34:31 CEST 2020,10,-5,5
Fri Apr 17 20:37:10 CEST 2020,10,-5,5
Fri Apr 17 20:39:08 CEST 2020,20,-5,15
Fri Apr 17 20:42:55 CEST 2020,20,-5,15
Fri Apr 17 20:43:34 CEST 2020,20,-5,15
Fri Apr 17 20:44:23 CEST 2020,20,-5,15
Fri Apr 17 20:45:56 CEST 2020,10,-5,5
Fri Apr 17 20:49:58 CEST 2020,20,-5,15
Fri Apr 17 20:52:27 CEST 2020,10,-5,5
Fri Apr 17 20:55:17 CEST 2020,20,-5,15
Fri Apr 17 20:57:02 CEST 2020,20,-5,15
Fri Apr 17 20:59:39 CEST 2020,20,-5,15
Fri Apr 17 21:00:42 CEST 2020,20,-5,15
Fri Apr 17 21:01:12 CEST 2020,20,-5,15
Fri Apr 17 21:03:33 CEST 2020,20,-5,15
Fri Apr 17 21:04:14 CEST 2020,10,-5,5
Fri Apr 17 21:04:59 CEST 2020,20,-5,15
Fri Apr 17 21:10:39 CEST 2020,10,-5,5
Fri Apr 17 21:13:50 CEST 2020,20,-5,15
Fri Apr 17 21:17:48 CEST 2020,20,-5,15
Fri Apr 17 21:28:28 CEST 2020,20,-5,15
Fri Apr 17 21:31:36 CEST 2020,20,-5,15
Fri Apr 17 21:32:10 CEST 2020,20,-5,15
Fri Apr 17 21:32:25 CEST 2020,10,-5,5
Fri Apr 17 21:32:55 CEST 2020,20,-5,15
