dato,saldoFor,transaksjon,saldoEtter
Fri Apr 17 19:22:07 CEST 2020,10,-5,5
Fri Apr 17 19:29:40 CEST 2020,10,-5,5
Fri Apr 17 19:32:33 CEST 2020,10,-5,5
Fri Apr 17 19:38:18 CEST 2020,10,-5,5
Fri Apr 17 19:41:15 CEST 2020,30,-5,25
Fri Apr 17 19:42:41 CEST 2020,30,-5,25
Fri Apr 17 19:44:20 CEST 2020,30,-5,25
Fri Apr 17 19:48:36 CEST 2020,30,-5,25
Fri Apr 17 19:48:36 CEST 2020,25,-5,20
Fri Apr 17 19:48:36 CEST 2020,20,-5,15
Fri Apr 17 19:48:36 CEST 2020,15,-5,10
Fri Apr 17 19:48:36 CEST 2020,10,-5,5
Fri Apr 17 19:48:36 CEST 2020,5,-5,0
Fri Apr 17 19:49:51 CEST 2020,20,-5,15
Fri Apr 17 19:49:51 CEST 2020,15,-5,10
Fri Apr 17 19:49:51 CEST 2020,10,-5,5
Fri Apr 17 19:49:51 CEST 2020,5,-5,0
Fri Apr 17 19:56:54 CEST 2020,30,-5,25
Fri Apr 17 19:56:54 CEST 2020,25,-5,20
Fri Apr 17 19:56:54 CEST 2020,20,-5,15
Fri Apr 17 19:56:54 CEST 2020,15,-5,10
Fri Apr 17 19:56:54 CEST 2020,10,-5,5
Fri Apr 17 19:56:54 CEST 2020,5,-5,0
Fri Apr 17 20:00:52 CEST 2020,20,-5,15
Fri Apr 17 20:01:12 CEST 2020,10,-5,5
Fri Apr 17 20:05:32 CEST 2020,20,-5,15
Fri Apr 17 20:06:40 CEST 2020,10,-5,5
Fri Apr 17 20:12:21 CEST 2020,10,-5,5
Fri Apr 17 20:26:33 CEST 2020,20,-5,15
Fri Apr 17 20:32:51 CEST 2020,10,-5,5
Fri Apr 17 20:33:49 CEST 2020,10,-5,5
Fri Apr 17 20:45:54 CEST 2020,10,-5,5
Fri Apr 17 20:57:10 CEST 2020,20,-5,15
Fri Apr 17 20:59:42 CEST 2020,20,-5,15
Fri Apr 17 21:03:31 CEST 2020,20,-5,15
Fri Apr 17 21:04:18 CEST 2020,20,-5,15
Fri Apr 17 21:05:03 CEST 2020,20,-5,15
Fri Apr 17 21:10:36 CEST 2020,10,-5,5
Fri Apr 17 21:13:48 CEST 2020,20,-5,15
Fri Apr 17 21:17:30 CEST 2020,20,-5,15
